Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Donat;7433;0;Muntogna da Schons;3715;GR;2752514.6620000005;1166110.1059999987;rm
Lohn GR;7433;3;Muntogna da Schons;3715;GR;2752185.3889999986;1168549.932;rm
Mathon;7433;4;Muntogna da Schons;3715;GR;2751367.0659999996;1166901.2710000016;rm
Wergenstein;7433;5;Muntogna da Schons;3715;GR;2750560.1339999996;1165708.8280000016;rm
Bonaduz;7402;0;Bonaduz;3721;GR;2749868.614;1186395.2540000007;de
Domat/Ems;7013;0;Domat/Ems;3722;GR;2753531.432;1189190.2490000017;rm
Rhäzüns;7403;0;Rhäzüns;3723;GR;2749490.022;1184924.9189999998;rm
Felsberg;7012;0;Felsberg;3731;GR;2754971.090999998;1190260.6939999983;de
Flims Dorf;7017;0;Flims;3732;GR;2740788.421;1189045.2710000016;rm
Flims Waldhaus;7018;0;Flims;3732;GR;2741355.3090000004;1188118.8429999985;rm
Fidaz;7019;0;Flims;3732;GR;2742688.4239999987;1189438.9699999988;rm
Tamins;7015;0;Tamins;3733;GR;2750243.1339999996;1188337.5760000013;de
Trin;7014;0;Trin;3734;GR;2746855.9230000004;1188388.6350000016;rm
Trin Mulin;7016;0;Trin;3734;GR;2744774.125;1188426.6689999998;rm
Brail;7527;0;Zernez;3746;GR;2798815.5659999996;1170530.1209999993;rm
Zernez;7530;0;Zernez;3746;GR;2803145.864;1175446.0689999983;rm
Susch;7542;0;Zernez;3746;GR;2801569.0689999983;1180936.5390000008;rm
Lavin;7543;0;Zernez;3746;GR;2804253.283;1183368.0590000004;rm
Samnaun-Compatsch;7562;0;Samnaun;3752;GR;2825358.1149999984;1205384.3850000016;de
Samnaun Dorf;7563;0;Samnaun;3752;GR;2822491.8440000005;1203042.3530000001;de
Guarda;7545;0;Scuol;3762;GR;2807201.726;1184021.6799999997;rm
Ardez;7546;0;Scuol;3762;GR;2811011.403000001;1184191.5439999998;rm
Scuol;7550;0;Scuol;3762;GR;2818758.4329999983;1186521.8260000013;rm
Ftan;7551;0;Scuol;3762;GR;2814294.8680000007;1186606.1290000007;rm
Vulpera;7552;0;Scuol;3762;GR;2817387.625;1185731.25;rm
Tarasp;7553;0;Scuol;3762;GR;2815793.4290000014;1184394.3429999985;rm
Sent;7554;0;Scuol;3762;GR;2821131.159000002;1189050.5379999988;rm
Ramosch;7556;0;Valsot;3764;GR;2824520.1719999984;1191229.7600000016;rm
Ramosch;7556;0;Valsot;3764;GR;2813756.75;1198278.688000001;rm
Vnà;7557;0;Valsot;3764;GR;2823056.340999998;1192148.9530000016;rm
Strada;7558;0;Valsot;3764;GR;2828418.789000001;1194526.131000001;rm
Tschlin;7559;0;Valsot;3764;GR;2827465.272999998;1195407.7109999992;rm
Martina;7560;0;Valsot;3764;GR;2830503.2490000017;1197024.6909999996;rm
Bever;7502;0;Bever;3781;GR;2775743.0100000016;1155595.300999999;rm
Bever;7502;0;Bever;3781;GR;2787911.4880000018;1158608.4400000013;rm
Celerina/Schlarigna;7505;0;Celerina/Schlarigna;3782;GR;2786006.9580000006;1154092.4090000018;rm
Madulain;7523;0;Madulain;3783;GR;2791446.125;1162405.9730000012;rm
Madulain;7523;0;Madulain;3783;GR;2796468.2490000017;1152753;rm
Pontresina;7504;0;Pontresina;3784;GR;2789128.9979999997;1152101.5089999996;rm
La Punt Chamues-ch;7522;0;La Punt Chamues-ch;3785;GR;2790843.66;1161502.5659999996;rm
Samedan;7503;0;Samedan;3786;GR;2786540.3630000018;1156513.4990000017;rm
St. Moritz;7500;0;St. Moritz;3787;GR;2784317.0080000013;1152498.2769999988;rm
S-chanf;7525;0;S-chanf;3788;GR;2795032.4930000007;1165679.568;rm
Cinuos-chel;7526;0;S-chanf;3788;GR;2797846.4010000005;1168851.7159999982;rm
Chapella;7526;1;S-chanf;3788;GR;2796908.188000001;1167894.3480000012;rm
Sils/Segl Maria;7514;0;Sils im Engadin/Segl;3789;GR;2778689.1449999996;1144611.232999999;rm
Fex;7514;2;Sils im Engadin/Segl;3789;GR;2778507.085999999;1143488.6220000014;rm
Sils/Segl Baselgia;7515;0;Sils im Engadin/Segl;3789;GR;2778011.5150000006;1145222.0390000008;rm
Plaun da Lej;7517;0;Sils im Engadin/Segl;3789;GR;2775701.5439999998;1143723.2060000002;rm
Champfèr;7512;0;Silvaplana;3790;GR;2782121.7650000006;1150175.8869999982;rm
Silvaplana;7513;0;Silvaplana;3790;GR;2781007.7349999994;1148063.6559999995;rm
Silvaplana-Surlej;7513;2;Silvaplana;3790;GR;2782452.4560000002;1148107.2950000018;rm
Zuoz;7524;0;Zuoz;3791;GR;2792875.4849999994;1164219.5350000001;rm
Zuoz;7524;0;Zuoz;3791;GR;2787505.5;1165190.125;rm
Maloja;7516;0;Bregaglia;3792;GR;2773587.061999999;1141497.199000001;it
Casaccia;7602;0;Bregaglia;3792;GR;2771294.0150000006;1140159.1810000017;it
Vicosoprano;7603;0;Bregaglia;3792;GR;2768060.9189999998;1135614.3790000007;it
Borgonovo;7604;0;Bregaglia;3792;GR;2766660.295000002;1135237.995000001;it
Stampa;7605;0;Bregaglia;3792;GR;2765656.704999998;1134718.438000001;it
Promontogno;7606;0;Bregaglia;3792;GR;2763184.609000001;1133995.8960000016;it
Bondo;7606;1;Bregaglia;3792;GR;2762891.5469999984;1133638.3649999984;de
Castasegna;7608;0;Bregaglia;3792;GR;2759953.6719999984;1133508.796;it
Soglio;7610;0;Bregaglia;3792;GR;2761708.5810000002;1134353.5229999982;it
Buseno;6542;0;Buseno;3804;GR;2728626.6240000017;1125960.3740000017;it
Castaneda;6540;0;Castaneda;3805;GR;2731219.6559999995;1124264.6400000006;it
Rossa;6548;0;Rossa;3808;GR;2729909.4979999997;1137114.618999999;it
Augio;6548;1;Rossa;3808;GR;2729899.1799999997;1136210.756000001;it
Sta. Domenica;6548;2;Rossa;3808;GR;2729632.594999999;1134772.9899999984;it
Sta. Maria in Calanca;6541;0;Santa Maria in Calanca;3810;GR;2731549.083999999;1124939.5969999991;it
Lostallo;6558;0;Lostallo;3821;GR;2735239.495000001;1130534.7380000018;it
Mesocco;6563;0;Mesocco;3822;GR;2737833.164999999;1139508.8770000003;it
S. Bernardino;6565;0;Mesocco;3822;GR;2734708.460000001;1147227.5929999985;it
Soazza;6562;0;Soazza;3823;GR;2737296.175999999;1136620.3790000007;it
Cama;6557;0;Cama;3831;GR;2733701.5260000005;1125999.2109999992;it
Grono;6537;0;Grono;3832;GR;2731589.6000000015;1123220.6469999999;it
Verdabbio;6538;0;Grono;3832;GR;2732530.4679999985;1125539.5980000012;it
Verdabbio;6538;0;Grono;3832;GR;2738426.625;1125249.875;it
Leggia;6556;0;Grono;3832;GR;2733057.6209999993;1124742.8680000007;it
Roveredo GR;6535;0;Roveredo (GR);3834;GR;2729696.6680000015;1121573.7890000008;it
Laura;6549;0;Roveredo (GR);3834;GR;2728600.4899999984;1119353.8539999984;it
S. Vittore;6534;0;San Vittore;3835;GR;2733097.3599999994;1116434.607999999;it
S. Vittore;6534;0;San Vittore;3835;GR;2728922.1750000007;1122149.3610000014;it
Arvigo;6543;0;Calanca;3837;GR;2729022.6279999986;1129247.9880000018;it
Braggio;6544;0;Calanca;3837;GR;2729801.5659999996;1129377.6519999988;it
Selma;6545;0;Calanca;3837;GR;2729619.785;1131150.5150000006;it
Cauco;6546;0;Calanca;3837;GR;2729556.7630000003;1132907.9510000013;it
Tschierv;7532;0;Val Müstair;3847;GR;2822219.9459999986;1167799.6889999993;rm
Fuldera;7533;0;Val Müstair;3847;GR;2824630.9990000017;1166130.0590000004;rm
Lü;7534;0;Val Müstair;3847;GR;2824402.9739999995;1167657.050999999;rm
Valchava;7535;0;Val Müstair;3847;GR;2827511.772999998;1165298.9389999993;rm
Sta. Maria Val Müstair;7536;0;Val Müstair;3847;GR;2828599.563000001;1165466.607999999;rm
Müstair;7537;0;Val Müstair;3847;GR;2830225.2699999996;1167796.7780000009;rm
Davos Dorf;7260;0;Davos;3851;GR;2783247.5760000013;1187016.8680000007;de
Davos Wolfgang;7265;0;Davos;3851;GR;2784295.868999999;1189600.6279999986;de
Davos Platz;7270;0;Davos;3851;GR;2781951.614;1185220.6510000005;de
Davos Clavadel;7272;0;Davos;3851;GR;2781590.7760000005;1182300.864;de
Davos Frauenkirch;7276;0;Davos;3851;GR;2780242.7710000016;1182443.1519999988;de
Davos Glaris;7277;0;Davos;3851;GR;2778648.833999999;1179308.25;de
Davos Monstein;7278;0;Davos;3851;GR;2778313.653999999;1176070.4919999987;de
Davos Wiesen;7494;0;Davos;3851;GR;2774026.6149999984;1175025.2470000014;de
Fideris;7235;0;Fideris;3861;GR;2775315.9180000015;1198449.0590000004;de
Furna;7232;0;Furna;3862;GR;2770569.3869999982;1200864.756000001;de
Pragg-Jenaz;7231;0;Jenaz;3863;GR;2772434.1339999996;1201089.2149999999;de
Jenaz;7233;0;Jenaz;3863;GR;2773475.7639999986;1199778.1429999992;de
Saas im Prättigau;7247;0;Klosters;3871;GR;2780273.164999999;1198247.7089999989;de
Serneus;7249;0;Klosters;3871;GR;2783001.0540000014;1196086.2540000007;de
Klosters;7250;0;Klosters;3871;GR;2786260.890999999;1193926.6840000004;de
Klosters Dorf;7252;0;Klosters;3871;GR;2785684.7580000013;1195383.2780000009;de
Conters im Prättigau;7241;0;Conters im Prättigau;3881;GR;2779821.557;1197383.6389999986;de
Küblis;7240;0;Küblis;3882;GR;2778109.482999999;1198556.6099999994;de
Buchen im Prättigau;7223;0;Luzein;3891;GR;2773893.3539999984;1201255.875;de
Putz;7224;0;Luzein;3891;GR;2775430.8960000016;1199799.25;de
Luzein;7242;0;Luzein;3891;GR;2777369.41;1199104.9789999984;de
Pany;7243;0;Luzein;3891;GR;2777636.960000001;1200061.307;de
Gadenstätt;7244;0;Luzein;3891;GR;2779229.188000001;1201952.8440000005;de
Ascharina;7245;0;Luzein;3891;GR;2780251.3099999987;1203448.4710000008;de
St. Antönien;7246;0;Luzein;3891;GR;2780739.0599999987;1204780.414999999;de
Chur;7000;0;Chur;3901;GR;2759706.9499999993;1190690.995000001;de
Haldenstein;7023;0;Chur;3901;GR;2758787.5760000013;1194116.5309999995;de
Maladers;7026;0;Chur;3901;GR;2761864.3500000015;1189472.2980000004;de
Passugg;7062;0;Churwalden;3911;GR;2760841.313000001;1188727.6920000017;de
Malix;7074;0;Churwalden;3911;GR;2759672.085000001;1186872.6099999994;de
Churwalden;7075;0;Churwalden;3911;GR;2760798.287999999;1183216.7710000016;de
Parpan;7076;0;Churwalden;3911;GR;2761861.5720000006;1181060.8280000016;de
Castiel;7027;0;Arosa;3921;GR;2764999.9629999995;1189753.2879999988;de
Lüen;7027;1;Arosa;3921;GR;2765874.454999998;1189159.245000001;de
Calfreisen;7027;3;Arosa;3921;GR;2764474.3819999993;1190061.1460000016;de
St. Peter;7028;0;Arosa;3921;GR;2768218.9809999987;1189384.4910000004;de
Pagig;7028;1;Arosa;3921;GR;2767662.563000001;1189677.1339999996;de
Peist;7029;0;Arosa;3921;GR;2770510.739;1189301.0020000003;de
Arosa;7050;0;Arosa;3921;GR;2770819.0260000005;1183115.3570000008;de
Molinis;7056;0;Arosa;3921;GR;2769103.0150000006;1188626.0379999988;de
Langwies;7057;0;Arosa;3921;GR;2773550.1860000007;1187989.1169999987;de
Litzirüti;7058;0;Arosa;3921;GR;2772817.772999998;1185474.1810000017;de
Praden;7063;0;Tschiertschen-Praden;3932;GR;2763501.2430000007;1188224.4759999998;de
Tschiertschen;7064;0;Tschiertschen-Praden;3932;GR;2765455.3559999987;1187474.8929999992;de
Says;7202;0;Trimmis;3945;GR;2762769.5760000013;1196934.7699999996;de
Trimmis;7203;0;Trimmis;3945;GR;2761936.947999999;1196072.188000001;de
Untervaz;7204;0;Untervaz;3946;GR;2759646.3319999985;1199479.5219999999;de
Zizers;7205;0;Zizers;3947;GR;2761973.5249999985;1200590.7289999984;de
Fläsch;7306;0;Fläsch;3951;GR;2757743.579999998;1210384.1799999997;de
Jenins;7307;0;Jenins;3952;GR;2761019.125;1207729.5529999994;de
Maienfeld;7304;0;Maienfeld;3953;GR;2759132.449000001;1208448.3880000003;de
Malans GR;7208;0;Malans;3954;GR;2762468.9679999985;1205628.7030000016;de
Igis;7206;0;Landquart;3955;GR;2762381.7190000005;1201561.5040000007;de
Landquart;7302;0;Landquart;3955;GR;2761328.66;1203567.3429999985;de
Mastrils;7303;0;Landquart;3955;GR;2760201.272999998;1204023.9910000004;de
Valzeina;7213;0;Grüsch;3961;GR;2764757.079999998;1202261.8049999997;de
Grüsch;7214;0;Grüsch;3961;GR;2767996.414999999;1205851.318;de
Fanas;7215;0;Grüsch;3961;GR;2769480.5650000013;1206116.2459999993;de
Schiers;7220;0;Schiers;3962;GR;2771179.318;1204581.4239999987;de
Schiers;7220;0;Schiers;3962;GR;2777310.5;1207552.063000001;de
Lunden;7222;0;Schiers;3962;GR;2773037.0749999993;1202196.9129999988;de
Stels;7226;0;Schiers;3962;GR;2773279.2349999994;1204116.6600000001;de
Stels;7226;0;Schiers;3962;GR;2779410.5;1209283.813000001;de
Fajauna;7226;2;Schiers;3962;GR;2772114.522;1204546.2410000004;de
Schuders;7228;0;Schiers;3962;GR;2774918.199000001;1207011.7989999987;de
Pusserein;7228;1;Schiers;3962;GR;2772853.1559999995;1206111.0300000012;de
Seewis Dorf;7212;0;Seewis im Prättigau;3972;GR;2767422.0700000003;1206642.3669999987;de
Seewis-Pardisla;7212;1;Seewis im Prättigau;3972;GR;2766851.75;1205274.875;de
Seewis-Schmitten;7212;2;Seewis im Prättigau;3972;GR;2767519.75;1205605.375;de
Waltensburg/Vuorz;7158;0;Breil/Brigels;3981;GR;2728217.1160000004;1182031.3819999993;rm
Andiast;7159;0;Breil/Brigels;3981;GR;2728219.280000001;1183132.068;rm
Tavanasa;7162;0;Breil/Brigels;3981;GR;2724077.789000001;1179464.4959999993;rm
Danis;7163;0;Breil/Brigels;3981;GR;2723656.8630000018;1179445.3249999993;rm
Dardin;7164;0;Breil/Brigels;3981;GR;2722624.6339999996;1179667.6750000007;rm
Breil/Brigels;7165;0;Breil/Brigels;3981;GR;2723951.221999999;1180947.2639999986;rm
Disentis/Mustér;7180;0;Disentis/Mustér;3982;GR;2708043.3440000005;1173436.436999999;rm
Cavardiras;7182;0;Disentis/Mustér;3982;GR;2710582.4990000017;1174275.614;rm
Mumpé Medel;7183;0;Disentis/Mustér;3982;GR;2707811.8249999993;1171890.4510000013;rm
Segnas;7186;0;Disentis/Mustér;3982;GR;2706267.3819999993;1172465.4609999992;rm
Curaglia;7184;0;Medel (Lucmagn);3983;GR;2708657.4059999995;1170132.2910000011;rm
Platta;7185;0;Medel (Lucmagn);3983;GR;2708332.2710000016;1168422.7149999999;rm
Rabius;7172;0;Sumvitg;3985;GR;2716159.3850000016;1177047.7800000012;rm
Surrein;7173;0;Sumvitg;3985;GR;2715494.7989999987;1175721.414999999;rm
S. Benedetg;7174;0;Sumvitg;3985;GR;2714683.3440000005;1177042.5210000016;rm
Sumvitg;7175;0;Sumvitg;3985;GR;2714691.079999998;1176316.8420000002;rm
Cumpadials;7176;0;Sumvitg;3985;GR;2713308.4059999995;1175686.9719999991;rm
Camischolas;7187;0;Tujetsch;3986;GR;2701178.4059999995;1170980.0309999995;rm
Sedrun;7188;0;Tujetsch;3986;GR;2702254.283;1170691.7850000001;rm
Rueras;7189;0;Tujetsch;3986;GR;2700405.7360000014;1170098.4930000007;rm
Trun;7166;0;Trun;3987;GR;2718153.2479999997;1177916.688000001;rm
Zignau;7167;0;Trun;3987;GR;2719792.2140000015;1177835.4580000006;rm
Schlans;7168;0;Trun;3987;GR;2720437.403000001;1179210.697999999;rm
Obersaxen;7134;0;Obersaxen Mundaun;3988;GR;2726958.129999999;1178826.1259999983;de
Flond;7137;0;Obersaxen Mundaun;3988;GR;2731555.8649999984;1181044.572999999;rm
Surcuolm;7138;0;Obersaxen Mundaun;3988;GR;2730286.3310000002;1179929.4140000008;rm
Aarau;5000;0;Aarau;4001;AG;2646060.8375000004;1248866.143330487;de
Aarau;5004;0;Aarau;4001;AG;2646950.666000001;1250196.9963417056;de
Aarau Rohr;5032;0;Aarau;4001;AG;2648813.664999999;1250332.9120000005;de
Biberstein;5023;0;Biberstein;4002;AG;2648495.9739999995;1251881.0340000018;de
Buchs AG;5033;0;Buchs (AG);4003;AG;2647772.460999999;1248902.3740000017;de
Asp;5025;0;Densbüren;4004;AG;2646021.129999999;1254853.9030000009;de
Densbüren;5026;0;Densbüren;4004;AG;2646472.9059999995;1255968.0700000003;de
Barmelweid;5017;0;Erlinsbach (AG);4005;AG;2640092.101;1252474.5139999986;de
Erlinsbach;5018;0;Erlinsbach (AG);4005;AG;2643101.899;1250895.7030000016;de
Gränichen;5722;0;Gränichen;4006;AG;2650127.6339999996;1245284.5529999994;de
Hirschthal;5042;0;Hirschthal;4007;AG;2646705.596000001;1241054.1149999984;de
Rombach;5022;0;Küttigen;4008;AG;2645905.515999999;1250691.7829999998;de
Küttigen;5024;0;Küttigen;4008;AG;2645974.920000002;1251535.765999999;de
Muhen;5037;0;Muhen;4009;AG;2646310.636;1242865.7800000012;de
Oberentfelden;5036;0;Oberentfelden;4010;AG;2644962.4310000017;1245409.8209999986;de
Suhr;5034;0;Suhr;4012;AG;2648142.5599999987;1247124.265999999;de
Unterentfelden;5035;0;Unterentfelden;4013;AG;2645298.1460000016;1246711.1660000011;de
Baden;5400;0;Baden;4021;AG;2665611.8559999987;1258347.2289999984;de
Baden;5404;0;Baden;4021;AG;2663319.484000001;1256307.4899999984;de
Dättwil AG;5405;2;Baden;4021;AG;2663894.6939999983;1256307.1600000001;de
Rütihof;5406;2;Baden;4021;AG;2662587.3790000007;1254696.4230000004;de
Bellikon;5454;0;Bellikon;4022;AG;2668463.8869999982;1249326.1220000014;de
Bergdietikon;8962;0;Bergdietikon;4023;AG;2671102.458999999;1249307.4239999987;de
Birmenstorf AG;5413;0;Birmenstorf (AG);4024;AG;2661080.796;1257102.4849999994;de
Ennetbaden;5408;0;Ennetbaden;4026;AG;2666733.796;1259241.4439999983;de
Fislisbach;5442;0;Fislisbach;4027;AG;2664740.469999999;1254603.3489999995;de
Freienwil;5423;0;Freienwil;4028;AG;2666890.0819999985;1261698.3200000003;de
Gebenstorf;5412;0;Gebenstorf;4029;AG;2660415.295000002;1259184.6829999983;de
Vogelsang AG;5412;1;Gebenstorf;4029;AG;2660394.136;1260792.0419999994;de
Killwangen;8956;0;Killwangen;4030;AG;2668658.7930000015;1253943.4290000014;de
Künten;5444;0;Künten;4031;AG;2667065.787999999;1249207.2289999984;de
Mägenwil;5506;0;Mägenwil;4032;AG;2660005.5489999987;1251294.4710000008;de
Mellingen;5507;0;Mellingen;4033;AG;2663597.7529999986;1252273.447999999;de
Neuenhof;5432;0;Neuenhof;4034;AG;2666753.2749999985;1255367.0340000018;de
Niederrohrdorf;5443;0;Niederrohrdorf;4035;AG;2664822.1499999985;1252911.8999999985;de
Oberrohrdorf;5452;0;Oberrohrdorf;4037;AG;2666654.6229999997;1252811.256000001;de
Nussbaumen AG;5415;0;Obersiggenthal;4038;AG;2664124.8099999987;1260165.671;de
Hertenstein AG;5415;1;Obersiggenthal;4038;AG;2665875.993999999;1260004.1900000013;de
Rieden AG;5415;2;Obersiggenthal;4038;AG;2665226.313000001;1259603.6939999983;de
Kirchdorf AG;5416;0;Obersiggenthal;4038;AG;2662953.6829999983;1261016.2800000012;de
Remetschwil;5453;0;Remetschwil;4039;AG;2667028.717;1251212.5329999998;de
Spreitenbach;8957;0;Spreitenbach;4040;AG;2669953.1290000007;1252195.5119999982;de
Stetten AG;5608;0;Stetten (AG);4041;AG;2665472.925999999;1250222.9869999997;de
Turgi;5300;0;Turgi;4042;AG;2661423.368999999;1260315.0450000018;de
Siggenthal Station;5301;0;Untersiggenthal;4044;AG;2660210.3440000005;1263026.4439999983;de
Untersiggenthal;5417;0;Untersiggenthal;4044;AG;2661873.1680000015;1261938.8779999986;de
Wettingen;5430;0;Wettingen;4045;AG;2667237.462000001;1257830.1130000018;de
Wohlenschwil;5512;0;Wohlenschwil;4046;AG;2661741.226;1251607.4800000004;de
Würenlingen;5303;0;Würenlingen;4047;AG;2661749.517999999;1264711.3630000018;de
Würenlos;5436;0;Würenlos;4048;AG;2669864.2179999985;1255078.0260000005;de
Kloster Fahr;8109;0;Würenlos;4048;AG;2675508.9640000015;1251309.890999999;de
Ehrendingen;5420;0;Ehrendingen;4049;AG;2668079.585999999;1261120.3830000013;de
Arni AG;8905;3;Arni (AG);4061;AG;2674218.158;1241316.5839999989;de
Berikon;8965;0;Berikon;4062;AG;2670599.482000001;1244747.9189999998;de
Bremgarten AG;5620;0;Bremgarten (AG);4063;AG;2668123.1149999984;1244947.2410000004;de
Hermetschwil-Staffeln;5626;0;Bremgarten (AG);4063;AG;2668248.0579999983;1242552.289999999;de
Büttikon AG;5619;0;Büttikon;4064;AG;2662803.030000001;1242298.0280000009;de
Dottikon;5605;0;Dottikon;4065;AG;2660588.5989999995;1248401.9290000014;de
Eggenwil;5445;0;Eggenwil;4066;AG;2668021.175999999;1246648.3460000008;de
Fischbach-Göslikon;5525;0;Fischbach-Göslikon;4067;AG;2665899.4959999993;1246841.4849999994;de
Hägglingen;5607;0;Hägglingen;4068;AG;2661571.2939999998;1248840.870000001;de
Jonen;8916;0;Jonen;4071;AG;2672371.7630000003;1238764.6490000002;de
Niederwil AG;5524;0;Niederwil (AG);4072;AG;2664622.853;1247897.3680000007;de
Nesselnbach;5524;2;Niederwil (AG);4072;AG;2664710.958999999;1249190.631000001;de
Oberlunkhofen;8917;0;Oberlunkhofen;4073;AG;2671932.539000001;1240605.2939999998;de
Oberwil-Lieli;8966;0;Oberwil-Lieli;4074;AG;2671571.4750000015;1243193.3729999997;de
Rudolfstetten;8964;0;Rudolfstetten-Friedlisberg;4075;AG;2671043.006000001;1246808.767000001;de
Sarmenstorf;5614;0;Sarmenstorf;4076;AG;2661494.4470000006;1240592.9580000006;de
Tägerig;5522;0;Tägerig;4077;AG;2663614.9510000013;1250520.2479999997;de
Uezwil;5619;2;Uezwil;4078;AG;2663274.829999998;1240853.4659999982;de
Unterlunkhofen;8918;0;Unterlunkhofen;4079;AG;2671228.704;1241582.7019999996;de
Villmergen;5612;0;Villmergen;4080;AG;2660847.522999998;1244187.1959999986;de
Hilfikon;5613;0;Villmergen;4080;AG;2661394.0139999986;1242802.9990000017;de
Widen;8967;0;Widen;4081;AG;2669418.5830000006;1246721.3449999988;de
Wohlen AG;5610;0;Wohlen (AG);4082;AG;2663435.3040000014;1244821.6059999987;de
Anglikon;5611;0;Wohlen (AG);4082;AG;2662255.739;1246384.197999999;de
Zufikon;5621;0;Zufikon;4083;AG;2669693.528000001;1244149.9699999988;de
Islisberg;8905;2;Islisberg;4084;AG;2675645.717;1241777.1550000012;de
Auenstein;5105;0;Auenstein;4091;AG;2652983.0370000005;1251923.7529999986;de
Birr;5242;1;Birr;4092;AG;2657527.2080000006;1254289.4389999993;de
Birrhard;5244;0;Birrhard;4093;AG;2660879.5190000013;1254021.2950000018;de
Schinznach Bad;5116;0;Brugg;4095;AG;2655057.8000000007;1256151.2380000018;de
Brugg AG;5200;0;Brugg;4095;AG;2657899.8040000014;1259654.1259999983;de
Umiken;5222;0;Brugg;4095;AG;2656613.8220000006;1259301.642000001;de
Habsburg;5245;0;Habsburg;4099;AG;2656352.0760000013;1257006.4589999989;de
Hausen AG;5212;0;Hausen (AG);4100;AG;2658278.8630000018;1257100.1180000007;de
Lupfig;5242;2;Lupfig;4104;AG;2657926.971999999;1254578.7690000013;de
Scherz;5246;0;Lupfig;4104;AG;2656232.4679999985;1255388.675999999;de
Mandach;5318;0;Mandach;4105;AG;2656274.1499999985;1266498.5540000014;de
Mönthal;5237;0;Mönthal;4106;AG;2653079.574000001;1263253.8509999998;de
Mülligen;5243;0;Mülligen;4107;AG;2660385.2600000016;1256646.7859999985;de
Remigen;5236;0;Remigen;4110;AG;2656364.3960000016;1263080.561999999;de
Riniken;5223;0;Riniken;4111;AG;2656618.473000001;1260512.6169999987;de
Rüfenach AG;5235;0;Rüfenach;4112;AG;2657738.420000002;1262309.379999999;de
Thalheim AG;5112;0;Thalheim (AG);4117;AG;2650105.3379999995;1254122.454;de
Veltheim AG;5106;0;Veltheim (AG);4120;AG;2653459.403999999;1254407.6629999988;de
Stilli;5233;0;Villigen;4121;AG;2659721.4389999993;1263162.3299999982;de
Villigen;5234;0;Villigen;4121;AG;2658316.3779999986;1264331.3359999992;de
Villnachern;5213;0;Villnachern;4122;AG;2654125.7630000003;1257867.2490000017;de
Windisch;5210;0;Windisch;4123;AG;2658398.6849999987;1258614.925999999;de
Bözberg;5225;1;Bözberg;4124;AG;2654468.670000002;1260307.4409999996;de
Schinznach Dorf;5107;0;Schinznach;4125;AG;2653092.4169999994;1255302.7699999996;de
Oberflachs;5108;0;Schinznach;4125;AG;2652193.024;1254684.2129999995;de
Beinwil am See;5712;0;Beinwil am See;4131;AG;2658257.017999999;1235183.7989999987;de
Birrwil;5708;0;Birrwil;4132;AG;2657421.870000001;1237973.2010000013;de
Burg AG;5736;0;Burg (AG);4133;AG;2655987.2430000007;1231704.5;de
Dürrenäsch;5724;0;Dürrenäsch;4134;AG;2654344.897999998;1241409.3339999989;de
Gontenschwil;5728;0;Gontenschwil;4135;AG;2653464.954;1235892.7589999996;de
Holziken;5043;0;Holziken;4136;AG;2645035.3280000016;1241130.818;de
Leimbach AG;5733;0;Leimbach (AG);4137;AG;2655344.721000001;1236254.3189999983;de
Leutwil;5725;0;Leutwil;4138;AG;2655607.640999999;1240104.4050000012;de
Menziken;5737;0;Menziken;4139;AG;2656616.2430000007;1232335.2109999992;de
Oberkulm;5727;0;Oberkulm;4140;AG;2651841.5370000005;1238902.9910000004;de
Reinach AG;5734;0;Reinach (AG);4141;AG;2656754.886;1234194.0879999995;de
Schlossrued;5044;0;Schlossrued;4142;AG;2649199.3489999995;1238186.2600000016;de
Schmiedrued;5046;1;Schmiedrued;4143;AG;2650697.2349999994;1235780.4189999998;de
Walde AG;5046;2;Schmiedrued;4143;AG;2650978.6149999984;1234428.4930000007;de
Schöftland;5040;0;Schöftland;4144;AG;2646284.215;1239505.2280000001;de
Teufenthal AG;5723;0;Teufenthal (AG);4145;AG;2651383.197999999;1242105.1220000014;de
Unterkulm;5726;0;Unterkulm;4146;AG;2651184.390999999;1240178.6130000018;de
Zetzwil;5732;0;Zetzwil;4147;AG;2653885.9329999983;1237727.9239999987;de
Eiken;5074;0;Eiken;4161;AG;2641445.409000002;1264726.4109999985;de
Frick;5070;0;Frick;4163;AG;2643984.7030000016;1261682.4100000001;de
Gansingen;5272;0;Gansingen;4164;AG;2652805.1849999987;1266031.7049999982;de
Gipf-Oberfrick;5073;0;Gipf-Oberfrick;4165;AG;2642556.0040000007;1260877.2870000005;de
Herznach;5027;0;Herznach;4166;AG;2645902.614;1258034.699000001;de
Kaisten;5082;0;Kaisten;4169;AG;2645721.6339999996;1265665.1999999993;de
Ittenthal;5083;0;Kaisten;4169;AG;2646686.166000001;1263163.3850000016;de
Laufenburg;5080;0;Laufenburg;4170;AG;2646877.011;1268105.5469999984;de
Rheinsulz;5084;0;Laufenburg;4170;AG;2649029.493999999;1267425.0410000011;de
Sulz AG;5085;0;Laufenburg;4170;AG;2649617.2430000007;1265050.5350000001;de
Münchwilen AG;4333;0;Münchwilen (AG);4172;AG;2639507.8049999997;1265260.039999999;de
Oberhof;5062;0;Oberhof;4173;AG;2642545.272999998;1255480.8040000014;de
